797988,83751
797988,83841
797988,83796
790293,83163
859293,89625
859293,92106
859293,92922
859293,93516
859293,93537
859293,93474
859293,93792
859293,97920
873651,92673
895125,100029
894648,99735
803865,84312
664290,107421
791268,83262
791268,83538
791268,88884
791268,99297
805173,107652
805173,85632
805173,85575
805173,114378
805173,87216
805173,87423
740061,81495
796599,83580
791541,83292
892422,98886
765450,83562
822618,85995
875247,93138
810558,84894
649983,80196
802647,85608
802647,87966
756771,81702
668187,80268
855567,89199
856827,89400
869298,91674
803799,85056
803799,85056
803799,85431
803799,90714
822411,86103
822411,92958
628521,79890
628521,79977
773922,83490
765372,81864
721920,81294
825480,86298
825480,86298
709488,80859
792651,107139
792651,85923
792651,85923
756474,82182
756474,92961
785949,106806
836694,87441
643149,79959
643149,79959
799065,101307
890661,117948
872325,92385
799647,83946
774468,82212
804045,109347
729879,102135
697581,80550
643662,79980
725502,81399
718725,107616
800877,107340
833907,87237
808614,107616
874548,117144
806508,84504
827880,86610
827880,86946
628833,79833
770469,82107
770469,82632
770469,87558
770469,109929
770469,93975
770469,93975
854415,88524
854415,88947
854415,91239
854415,117096
854415,95025
854415,96078
854415,118167
854415,98064
873654,93027
721113,82017
638031,79926
638031,80364
638031,80577
638031,80694
638031,80694
638031,85194
638031,114972
638031,88026
638031,88290
638031,88857
638031,89778
638031,110286
638031,94818
638031,110421
638031,97599
638031,98778
812082,84975
763725,81831
736257,81546
841704,87939
841704,87939
856464,115452
786819,82737
822312,86136
822312,93927
822312,93942
822312,98556
751473,81627
762423,106632
762423,82839
762423,83070
721461,81228
829044,86775
797103,115668
797103,116769
797103,95277
742332,81546
714066,87036
714066,87036
714066,98967
714066,99192
711942,117501
822981,89625
822981,92100
822981,92301
822981,92808
822981,93021
822981,96675
822981,97608
822981,118044
822981,99792
786162,106806
871206,92589
663897,80313
663897,107697
663897,109419
663897,107757
663897,91941
882927,95064
810159,84642
755052,81678
854214,102135
677046,80286
854505,88956
629085,80031
629085,80085
629085,80724
629085,81582
629085,82002
793740,83433
722049,81294
774375,89112
683085,80559
788226,82875
788226,83211
859398,102834
888576,97617
793485,83487
702135,104511
874629,92970
824448,86340
847812,88446
772221,104766
772221,84534
849081,88635
838356,87558
786708,95268
761055,81735
866931,90894
752379,81636
752379,82950
778743,82410
645693,80025
645693,80085
718785,81213
773061,106656
754068,81654
720627,88947
858645,96264
858645,98439
760110,81783
797580,107340
797580,107340
797580,101307
797580,107340
797580,107340
797580,107616
797580,104910
797580,101553
788526,82923
765840,81810
775458,82302
775458,82344
840705,87729
795381,104907
731889,81447
804486,84270
851865,88824
851865,89250
703257,80709
703257,80709
703257,80808
703257,81582
795786,107235
698691,80496
870645,91986
834285,87348
822255,106365
716499,81201
842841,93462
866373,90975
835968,87465
644679,79986
787425,82875
786012,106806
786012,107304
792846,83400
792846,83460
792846,94098
632526,79866
837813,118116
837813,98541
837813,98745
837813,118152
837813,99720
837813,99720
779772,82482
655548,80334
655548,80292
655548,105453
655548,107226
655548,83589
885696,96441
814206,85062
872328,102834
847086,88533
843030,88089
843030,92172
816357,110682
640932,79905
837135,87495
715677,105450
649839,85965
649839,114855
649839,94359
774909,100890
808320,107616
708258,80802
825375,86481
825375,87561
819087,85584
819087,89811
641922,79932
641922,80157
641922,80292
732159,81447
778914,105558
734979,81513
745194,81555
743553,106041
878685,117252
882654,117576
778779,82476
778779,86619
648936,94443
837966,87564
720951,81294
714294,81123
692952,80406
692952,80808
692952,81648
692952,81645
805386,107616
834156,88029
852492,89958
852492,116319
852492,98745
733467,100551
733467,106083
733467,101421
733467,101604
733467,87348
733467,102849
826128,87924
826128,88938
797058,83745
797058,84462
797058,84498
797058,89901
859740,89745
859740,98319
872097,92475
872097,117924
862809,109977
862809,109980
876294,106434
712470,105540
709872,80931
871056,116634
871056,117027
871056,95013
871056,95487
783864,90327
783864,116523
783864,91914
783864,92052
783864,93054
783864,93147
783864,96318
783864,96366
783864,99519
748641,82410
743619,81549
865818,90852
889788,97908
765444,81861
761142,81798
741633,81546
741633,85668
735045,104673
735045,104673
735045,104673
746451,81573
856338,89361
700476,104487
700476,81207
700476,81621
700476,106773
790806,83127
790806,95133
884436,95802
822708,106389
802986,88875
802986,116058
700053,80550
683520,105732
644298,79986
841182,87912
822231,85983
790053,83073
846015,115206
823467,86154
868647,116385
796311,104907
856440,89325
745983,81573
745983,81810
859422,102348
790737,83193
818217,85473
862713,90267
868407,110058
704709,80694
704709,80694
790068,106257
790068,106365
767406,82002
765954,81936
765954,104760
765954,84996
765954,115950
825804,86484
867594,91212
846393,88455
704676,80712
646029,80031
646029,81669
793737,104907
793737,89127
724524,100497
724524,100497
797622,101307
797622,107340
794961,83349
705903,102135
817458,105789
627603,79830
627603,79836
627603,79836
627603,79863
627603,79905
627603,80523
627603,80577
627603,90867
627603,91119
627603,91728
627603,91728
724431,82191
866154,90918
713085,81123
696219,104547
870684,92010
807522,107616
768087,82011
694983,80448
694983,80532
694983,80529
694983,80754
694983,81135
694983,81321
694983,106161
694983,106203
807234,107616
814710,85170
814710,95376
702861,80622
643560,79977
643560,80937
631623,79851
