797988,83751,10
797988,83841,10
797988,83796,10
790293,83163,10
859293,89625,10
859293,92106,10
859293,92922,10
859293,93516,10
859293,93537,10
859293,93474,10
859293,93792,10
859293,97920,10
873651,92673,10
895125,100029,10
894648,99735,10
803865,84312,10
664290,107421,10
791268,83262,10
791268,83538,10
791268,88884,10
791268,99297,10
805173,107652,10
805173,85632,10
805173,85575,10
805173,114378,10
805173,87216,10
805173,87423,10
740061,81495,10
796599,83580,10
791541,83292,10
892422,98886,10
765450,83562,10
822618,85995,10
875247,93138,10
810558,84894,10
649983,80196,10
802647,85608,10
802647,87966,10
756771,81702,10
668187,80268,10
855567,89199,10
856827,89400,10
869298,91674,10
803799,85056,10
803799,85056,10
803799,85431,10
803799,90714,10
822411,86103,10
822411,92958,10
628521,79890,10
628521,79977,10
773922,83490,10
765372,81864,10
721920,81294,10
825480,86298,10
825480,86298,10
709488,80859,10
792651,107139,10
792651,85923,10
792651,85923,10
756474,82182,10
756474,92961,10
785949,106806,10
836694,87441,10
643149,79959,10
643149,79959,10
799065,101307,10
890661,117948,10
872325,92385,10
799647,83946,10
774468,82212,10
804045,109347,10
729879,102135,10
697581,80550,10
643662,79980,10
725502,81399,10
718725,107616,10
800877,107340,10
833907,87237,10
808614,107616,10
874548,117144,10
806508,84504,10
827880,86610,10
827880,86946,10
628833,79833,10
770469,82107,10
770469,82632,10
770469,87558,10
770469,109929,10
770469,93975,10
770469,93975,10
854415,88524,10
854415,88947,10
854415,91239,10
854415,117096,10
854415,95025,10
854415,96078,10
854415,118167,10
854415,98064,10
873654,93027,10
721113,82017,10
638031,79926,10
638031,80364,10
638031,80577,10
638031,80694,10
638031,80694,10
638031,85194,10
638031,114972,10
638031,88026,10
638031,88290,10
638031,88857,10
638031,89778,10
638031,110286,10
638031,94818,10
638031,110421,10
638031,97599,10
638031,98778,10
812082,84975,10
763725,81831,10
736257,81546,10
841704,87939,10
841704,87939,10
856464,115452,10
786819,82737,10
822312,86136,10
822312,93927,10
822312,93942,10
822312,98556,10
751473,81627,10
762423,106632,10
762423,82839,10
762423,83070,10
721461,81228,10
829044,86775,10
797103,115668,10
797103,116769,10
797103,95277,10
742332,81546,10
714066,87036,10
714066,87036,10
714066,98967,10
714066,99192,10
711942,117501,10
822981,89625,10
822981,92100,10
822981,92301,10
822981,92808,10
822981,93021,10
822981,96675,10
822981,97608,10
822981,118044,10
822981,99792,10
786162,106806,10
871206,92589,10
663897,80313,10
663897,107697,10
663897,109419,10
663897,107757,10
663897,91941,10
882927,95064,10
810159,84642,10
755052,81678,10
854214,102135,10
677046,80286,10
854505,88956,10
629085,80031,10
629085,80085,10
629085,80724,10
629085,81582,10
629085,82002,10
793740,83433,10
722049,81294,10
774375,89112,10
